date,transformer_1,transformer_2,transformer_3,transformer_4,transformer_5,transformer_6,transformer_7,transformer_8,transformer_9,transformer_10,transformer_11,transformer_12,transformer_13,transformer_14,transformer_15,transformer_16,transformer_17,transformer_18,transformer_19,transformer_20,transformer_21,transformer_22,transformer_23,transformer_24,transformer_25,transformer_26,transformer_27,transformer_28,transformer_29,transformer_30,transformer_31,transformer_32,transformer_33,transformer_34,transformer_35,transformer_36,transformer_37,transformer_38,transformer_39
2019-12-09T12:15:00.000000+0000,210.9137,21.09391,87.13035,93.3262,70.67476,86.75693,114.9432,131.1294,63.97291,75.62251,252.494,93.87679,81.72329,27.22656,152.065,11.27934,187.1665,51.3793,78.5388,295.565,143.33,90.74963,170.4802,62.15392,75.67519,104.5574,184.5204,38.01245,46.87534,85.97002,126.5489,133.836,19.74374,97.80529,228.3784,77.37224,42.51609,60.98851,19.782
2019-12-09T12:30:00.000000+0000,219.3331,23.85532,84.68295,80.93087,73.35987,84.54207,109.3668,124.0284,67.06645,80.3522,243.5566,99.25421,79.74917,29.65919,151.7376,11.24394,187.8493,54.73578,69.70178,309.9351,149.195,76.80061,170.1215,59.68933,76.14663,112.5556,184.7794,39.33107,48.78127,83.77534,135.3206,129.8745,17.58512,101.0435,220.4319,72.28219,40.56799,64.5535,20.67593
2019-12-09T12:45:00.000000+0000,205.2969,23.46499,85.46642,73.47015,60.96411,91.86375,118.4238,129.6767,70.22099,71.88941,241.2233,93.75835,79.9574,27.70183,139.845,10.97391,180.2649,56.08584,66.05424,287.268,134.8302,73.12499,173.2565,53.90508,68.76443,99.7588,188.154,37.65652,48.14075,83.74526,121.8044,137.1711,14.40353,89.3653,208.2639,66.93649,39.77105,52.11368,22.45075
2019-12-09T13:00:00.000000+0000,206.0215,21.66623,80.02631,73.94202,62.09908,72.50207,121.516,128.0066,64.46573,80.30731,239.455,78.82554,73.14574,28.1744,126.6535,10.00386,182.8166,54.8749,66.65242,280.7445,127.2097,65.13629,170.8802,49.92891,70.72117,80.58115,176.675,37.47394,53.56293,76.13498,118.1563,135.8372,9.716928,91.1317,202.1106,68.9984,33.78823,51.01812,23.52619
2019-12-09T13:15:00.000000+0000,201.097,22.51565,76.07159,67.30885,59.02638,72.61888,112.6048,123.5481,64.57206,86.48196,265.2451,88.85974,74.76853,29.65331,116.0966,11.94509,173.9082,54.20061,66.38366,274.1558,132.4816,75.43026,170.6361,53.81756,75.50233,89.4219,177.9529,34.67485,50.40322,81.21284,118.8383,134.0239,10.80713,93.26762,223.0769,65.42262,33.39849,59.62112,18.05089
2019-12-09T13:30:00.000000+0000,211.2598,22.37464,89.05956,75.23488,59.86174,94.69574,127.5877,122.2087,70.97486,80.24735,273.4054,88.08784,79.03779,26.80334,137.8376,12.53359,179.8098,54.26189,59.68311,286.2637,144.0343,83.58714,171.0291,57.45446,78.52431,95.82884,192.4695,38.64144,65.3632,81.88276,124.0136,131.5928,11.00144,100.7681,203.9525,72.41467,37.24908,59.86683,19.09161
2019-12-09T13:45:00.000000+0000,206.8756,21.78411,84.85275,82.74111,54.06288,99.04057,127.4346,127.1436,69.73655,86.64022,275.6658,98.00566,80.22944,26.00845,149.1875,11.17347,176.1775,55.90335,61.45068,282.8863,136.2633,84.99492,169.5066,56.97413,80.34877,96.37419,188.0844,38.41634,68.33991,90.39375,128.4124,142.3121,12.73946,117.5202,217.8349,80.55408,36.75207,55.31053,23.17699
2019-12-09T14:00:00.000000+0000,207.0063,19.93167,87.63615,98.38553,53.55684,102.3968,133.2415,126.2514,76.0584,99.38234,248.0398,98.40513,74.0166,28.98956,153.9398,6.949478,183.2659,53.09297,68.64503,290.8852,137.1945,89.08493,171.1036,56.91458,86.46672,103.2836,187.9648,44.26773,59.91496,89.53416,131.8056,138.1925,14.1175,121.2787,213.9476,86.16196,37.08278,59.33477,19.99368
2019-12-09T14:15:00.000000+0000,213.8063,17.6138,94.16447,97.55885,52.75568,106.2469,155.2761,130.6539,79.72727,93.12752,248.8234,101.9153,77.32143,25.83745,153.4648,5.731128,190.7831,56.38217,73.48466,283.5872,145.5471,85.13103,170.9294,68.85372,91.42226,98.97952,187.294,48.35284,59.47871,89.00293,132.1761,140.8382,13.27278,118.3519,210.9292,90.2402,40.40485,65.94684,22.40518
2019-12-09T14:30:00.000000+0000,208.4581,18.36651,101.0705,99.91446,59.10773,104.4566,153.2633,129.1006,81.61714,97.83535,240.9037,102.5721,81.01245,28.25719,155.355,9.266395,196.7372,58.03487,78.28795,293.1219,149.0261,101.5259,170.577,69.13488,91.57541,107.9728,188.5447,44.22603,66.46136,91.05297,135.0012,149.8703,13.67236,127.617,224.5962,91.40347,37.78928,72.77484,21.49899
2019-12-09T14:45:00.000000+0000,203.7678,18.21871,93.39759,101.5341,67.0222,97.52834,158.8121,125.9371,89.28848,106.4042,244.7338,108.9426,88.65196,27.11345,155.737,10.21399,186.8388,60.18573,74.31606,294.8482,157.8274,103.5188,170.1703,70.41563,89.62137,107.4637,192.7247,37.43303,72.17274,99.66405,135.9469,154.7357,14.22311,122.02,242.7185,89.62295,37.76413,70.71679,24.47386
2019-12-09T15:00:00.000000+0000,209.3506,17.62037,89.44832,109.1907,69.95428,110.4353,168.7574,127.207,84.5692,104.3306,247.2566,110.0375,89.28269,24.83733,169.2376,11.84972,189.1227,62.19964,67.36412,291.9129,164.8035,99.22036,171.7611,76.90246,91.29283,117.1426,194.9279,39.8295,79.97419,101.3784,138.28,161.9893,16.88233,126.6305,226.6348,89.63152,36.64822,70.05058,27.8423
2019-12-09T15:15:00.000000+0000,212.9376,19.03,93.59666,115.1924,66.63033,127.6173,170.3889,128.3937,86.5267,111.1544,259.7594,119.6199,90.62024,29.58364,182.4346,12.68368,187.9943,67.63844,68.91992,281.7854,171.4021,99.77855,169.8685,78.75333,101.5217,121.6971,204.7027,38.07786,77.18883,107.0603,141.5184,157.8873,18.47558,137.3907,249.7381,90.92973,42.91108,76.69327,26.92199
